index,open,close,low,high,LONGS_SIGNAL,SHORTS_SIGNAL,LONGS_SIGNAL_PA,SHORTS_SIGNAL_PA
591.0,21698.8,21689.56,21623.8,21701.8,0.0,0.0,0.0,0.0
592.0,21688.8,21752.58,21687.63,21787.23,0.0,1.0,0.0,21787.23
593.0,21752.57,21525.91,21315.22,21766.98,1.0,0.0,21315.22,0.0
594.0,21525.92,21766.34,21506.84,21769.92,0.0,0.0,0.0,0.0
595.0,21761.76,21635.69,21591.62,21820.0,0.0,1.0,0.0,21820.0
596.0,21630.5,21596.58,21491.33,21650.81,0.0,0.0,0.0,0.0
597.0,21596.01,21496.7,21443.43,21601.76,0.0,0.0,0.0,0.0
598.0,21493.44,21447.24,21383.1,21517.41,0.0,0.0,0.0,0.0
599.0,21443.42,21383.69,21348.4,21443.42,0.0,0.0,0.0,0.0
600.0,21384.71,21266.01,21219.72,21397.02,1.0,0.0,21219.72,0.0
601.0,21268.25,21286.01,21233.62,21332.42,0.0,0.0,0.0,0.0
602.0,21283.2,21335.08,21258.01,21341.66,0.0,0.0,0.0,0.0
603.0,21340.68,21264.65,21247.61,21350.66,0.0,1.0,0.0,21350.66
604.0,21263.58,21157.8,21128.6,21270.12,0.0,0.0,0.0,0.0
605.0,21156.93,20823.07,20808.12,21161.84,0.0,0.0,0.0,0.0
606.0,20822.97,20923.76,20801.0,20967.1,0.0,0.0,0.0,0.0
607.0,20916.23,20845.23,20803.98,20920.87,0.0,0.0,0.0,0.0
608.0,20845.32,20714.93,20623.0,20854.49,1.0,0.0,20623.0,0.0
609.0,20710.06,20842.68,20664.72,20880.74,0.0,0.0,0.0,0.0
610.0,20849.98,20806.64,20775.0,20854.23,0.0,0.0,0.0,0.0
611.0,20806.63,20873.43,20781.78,20875.89,0.0,0.0,0.0,0.0
612.0,20874.05,20810.92,20781.88,20892.62,0.0,1.0,0.0,20892.62
613.0,20809.74,20770.83,20731.87,20820.96,0.0,0.0,0.0,0.0
614.0,20769.82,20780.7,20706.21,20815.75,0.0,0.0,0.0,0.0
615.0,20779.14,20819.94,20760.93,20833.3,0.0,1.0,0.0,20833.3
616.0,20817.58,20777.99,20758.56,20829.91,0.0,0.0,0.0,0.0
617.0,20779.65,20758.49,20741.82,20807.68,0.0,0.0,0.0,0.0
618.0,20760.55,20796.18,20754.17,20798.25,0.0,0.0,0.0,0.0
619.0,20797.84,20827.91,20780.8,20833.1,0.0,1.0,0.0,20833.1
620.0,20829.19,20742.21,20724.52,20831.03,0.0,0.0,0.0,0.0
621.0,20738.89,20676.25,20550.0,20744.26,0.0,0.0,0.0,0.0
622.0,20679.15,20586.36,20524.31,20679.67,1.0,0.0,20524.31,0.0
623.0,20581.85,20611.48,20550.13,20637.62,0.0,0.0,0.0,0.0
624.0,20615.17,20607.26,20595.01,20648.3,0.0,0.0,0.0,0.0
625.0,20607.22,20642.43,20600.56,20699.6,0.0,0.0,0.0,0.0
626.0,20645.39,20700.88,20638.64,20701.0,0.0,0.0,0.0,0.0
627.0,20700.34,20704.11,20671.71,20738.14,0.0,0.0,0.0,0.0
628.0,20704.44,20720.63,20686.99,20725.81,0.0,0.0,0.0,0.0
629.0,20721.92,20740.95,20682.97,20765.23,0.0,0.0,0.0,0.0
630.0,20737.1,20768.26,20732.74,20780.69,0.0,1.0,0.0,20780.69
631.0,20769.03,20719.81,20711.79,20779.22,0.0,0.0,0.0,0.0
632.0,20719.74,20699.93,20685.0,20747.0,0.0,0.0,0.0,0.0
633.0,20700.86,20735.27,20691.74,20736.45,0.0,0.0,0.0,0.0
634.0,20732.79,20716.31,20715.83,20763.55,0.0,1.0,0.0,20763.55
635.0,20716.35,20727.62,20701.79,20744.7,0.0,0.0,0.0,0.0
636.0,20730.17,20685.68,20674.93,20739.93,0.0,0.0,0.0,0.0
637.0,20684.51,20683.05,20650.97,20693.17,0.0,0.0,0.0,0.0
638.0,20685.12,20681.47,20673.27,20712.56,0.0,0.0,0.0,0.0
639.0,20681.47,20682.8,20640.97,20685.51,0.0,0.0,0.0,0.0
640.0,20682.8,20652.92,20632.58,20693.17,0.0,0.0,0.0,0.0
641.0,20649.63,20587.34,20579.84,20672.46,0.0,0.0,0.0,0.0
642.0,20585.23,20592.3,20533.68,20627.16,1.0,0.0,20533.68,0.0
643.0,20594.25,20651.99,20585.32,20658.97,0.0,0.0,0.0,0.0
644.0,20651.81,20606.66,20569.09,20651.81,0.0,0.0,0.0,0.0
645.0,20606.1,20624.02,20584.85,20636.25,0.0,0.0,0.0,0.0
646.0,20623.99,20583.06,20555.0,20631.31,1.0,0.0,20555.0,0.0
647.0,20582.89,20608.28,20572.49,20616.0,0.0,0.0,0.0,0.0
648.0,20606.27,20664.81,20595.05,20665.43,0.0,0.0,0.0,0.0
649.0,20665.45,20726.34,20642.38,20739.59,0.0,0.0,0.0,0.0
650.0,20728.01,20679.92,20666.36,20737.66,0.0,0.0,0.0,0.0
651.0,20679.92,20689.02,20662.85,20701.72,0.0,0.0,0.0,0.0
652.0,20688.96,20693.62,20685.78,20715.92,0.0,0.0,0.0,0.0
653.0,20691.47,20700.54,20680.57,20730.52,0.0,0.0,0.0,0.0
654.0,20698.27,20677.48,20659.14,20719.27,0.0,0.0,0.0,0.0
655.0,20676.74,20697.14,20670.16,20700.26,0.0,0.0,0.0,0.0
656.0,20695.46,20712.74,20686.3,20734.4,0.0,0.0,0.0,0.0
657.0,20712.49,20681.41,20649.93,20724.62,0.0,0.0,0.0,0.0
658.0,20682.48,20656.52,20654.3,20692.93,0.0,0.0,0.0,0.0
659.0,20654.69,20646.37,20641.88,20676.31,0.0,0.0,0.0,0.0
660.0,20646.33,20661.53,20633.98,20663.79,0.0,0.0,0.0,0.0
661.0,20657.6,20634.16,20628.44,20663.44,0.0,0.0,0.0,0.0
662.0,20634.07,20646.39,20616.64,20662.72,1.0,0.0,20616.64,0.0
663.0,20646.39,20649.19,20631.13,20680.1,0.0,0.0,0.0,0.0
664.0,20649.18,20642.42,20636.12,20694.17,0.0,0.0,0.0,0.0
665.0,20639.37,20681.55,20637.94,20687.23,0.0,0.0,0.0,0.0
666.0,20683.08,20732.42,20678.25,20742.29,0.0,0.0,0.0,0.0
667.0,20732.15,20737.57,20716.38,20752.79,0.0,0.0,0.0,0.0
668.0,20737.74,20710.52,20694.64,20742.38,0.0,0.0,0.0,0.0
669.0,20710.47,20725.7,20701.45,20727.05,0.0,0.0,0.0,0.0
670.0,20724.05,20707.37,20699.0,20725.96,0.0,0.0,0.0,0.0
671.0,20706.62,20710.71,20702.57,20748.89,0.0,0.0,0.0,0.0
672.0,20712.37,20696.39,20679.47,20713.74,0.0,0.0,0.0,0.0
673.0,20695.71,20686.53,20662.38,20697.86,0.0,0.0,0.0,0.0
674.0,20688.55,20691.42,20671.8,20708.12,0.0,0.0,0.0,0.0
675.0,20691.38,20658.61,20644.72,20698.16,0.0,0.0,0.0,0.0
676.0,20657.33,20646.58,20645.19,20683.93,0.0,0.0,0.0,0.0
677.0,20646.59,20679.92,20643.19,20684.25,0.0,0.0,0.0,0.0
678.0,20679.49,20628.8,20617.41,20683.44,1.0,0.0,20617.41,0.0
679.0,20629.01,20667.23,20629.01,20857.82,0.0,0.0,0.0,0.0
680.0,20665.27,20644.0,20638.76,20672.13,0.0,0.0,0.0,0.0
681.0,20641.38,20605.04,20605.0,20658.39,0.0,0.0,0.0,0.0
682.0,20607.22,20592.32,20591.77,20761.75,0.0,0.0,0.0,0.0
683.0,20592.52,20613.55,20571.57,20764.21,1.0,0.0,20571.57,0.0
684.0,20613.38,20625.29,20593.41,20632.97,0.0,0.0,0.0,0.0
685.0,20625.76,20650.01,20623.51,20662.53,0.0,0.0,0.0,0.0
686.0,20648.14,20639.69,20624.04,20649.39,0.0,0.0,0.0,0.0
687.0,20640.42,20654.3,20628.36,20665.5,0.0,0.0,0.0,0.0
688.0,20656.19,20645.65,20639.42,20661.66,0.0,0.0,0.0,0.0
689.0,20644.67,20619.21,20613.25,20646.68,0.0,0.0,0.0,0.0
690.0,20619.72,20635.27,20619.72,20674.5,0.0,0.0,0.0,0.0
691.0,20634.2,20650.81,20630.67,20665.34,0.0,0.0,0.0,0.0
692.0,20649.36,20659.95,20647.26,20674.22,0.0,0.0,0.0,0.0
693.0,20658.0,20673.76,20656.01,20683.76,0.0,0.0,0.0,0.0
694.0,20673.76,20660.42,20650.5,20688.4,0.0,1.0,0.0,20688.4
695.0,20658.26,20654.79,20650.27,20678.71,0.0,0.0,0.0,0.0
696.0,20657.53,20595.06,20590.03,20657.53,0.0,0.0,0.0,0.0
697.0,20595.0,20612.8,20582.95,20641.64,0.0,0.0,0.0,0.0
698.0,20614.44,20609.36,20596.72,20633.99,0.0,0.0,0.0,0.0
699.0,20607.63,20609.03,20604.42,20639.32,0.0,0.0,0.0,0.0
700.0,20606.79,20618.54,20606.33,20630.33,0.0,0.0,0.0,0.0
701.0,20616.51,20605.0,20595.49,20635.99,0.0,0.0,0.0,0.0
702.0,20606.07,20603.86,20557.76,20626.29,0.0,0.0,0.0,0.0
703.0,20602.35,20335.58,20253.27,20606.55,0.0,0.0,0.0,0.0
704.0,20328.03,20212.88,20167.99,20357.68,1.0,0.0,20167.99,0.0
705.0,20212.58,20276.87,20201.5,20331.95,0.0,0.0,0.0,0.0
706.0,20278.65,20296.04,20248.8,20318.56,0.0,0.0,0.0,0.0
707.0,20297.86,20237.85,20159.95,20311.72,0.0,0.0,0.0,0.0
708.0,20239.08,20257.16,20202.95,20270.56,0.0,0.0,0.0,0.0
709.0,20257.08,20231.49,20211.1,20266.57,0.0,0.0,0.0,0.0
710.0,20232.35,20155.45,20112.78,20232.38,1.0,0.0,20112.78,0.0
711.0,20155.43,20209.99,20143.88,20224.48,0.0,0.0,0.0,0.0
712.0,20209.98,20240.72,20204.19,20262.11,0.0,0.0,0.0,0.0
713.0,20240.63,20232.52,20169.63,20245.12,0.0,0.0,0.0,0.0
714.0,20230.05,20151.84,20147.56,20244.87,0.0,0.0,0.0,0.0
715.0,20156.41,20197.47,20143.43,20211.42,1.0,0.0,20143.43,0.0
716.0,20197.46,20219.81,20171.81,20220.0,0.0,0.0,0.0,0.0
717.0,20219.21,20253.52,20212.55,20271.27,0.0,0.0,0.0,0.0
718.0,20253.18,20279.13,20249.45,20279.23,0.0,0.0,0.0,0.0
719.0,20277.67,20334.53,20257.3,20389.14,0.0,0.0,0.0,0.0
720.0,20334.53,20306.67,20290.3,20343.72,0.0,0.0,0.0,0.0
721.0,20305.06,20329.04,20291.34,20335.15,0.0,0.0,0.0,0.0
722.0,20325.15,20340.06,20315.35,20343.0,0.0,0.0,0.0,0.0
723.0,20339.53,20304.7,20289.76,20341.97,0.0,0.0,0.0,0.0
724.0,20303.7,20312.7,20298.56,20327.13,0.0,0.0,0.0,0.0
725.0,20312.53,20300.13,20296.19,20337.17,0.0,0.0,0.0,0.0
726.0,20299.92,20319.24,20283.35,20339.21,0.0,0.0,0.0,0.0
727.0,20320.61,20311.81,20288.43,20333.07,0.0,0.0,0.0,0.0
