z-sma-7,z-std-7,z-sma-14,z-std-14,z-sma-28,z-std-28,z-sma-54,z-std-54,z-sma-106,z-std-106,z-sma-207,z-std-207,LONGS_SIGNAL,SHORTS_SIGNAL,index,open,close,low,high
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,501.0,42585.36,42523.63,42507.15,42623.07
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,502.0,42517.59,42554.91,42354.13,42596.57
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,503.0,42554.89,42567.11,42490.02,42585.17
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,504.0,42567.11,42442.41,42417.34,42584.6
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,505.0,42442.42,42492.05,42383.28,42530.5
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,506.0,42492.05,42514.08,42476.84,42556.45
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,507.0,42518.75,42625.73,42466.21,42628.96
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,508.0,42625.72,42672.39,42618.63,42695.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,509.0,42672.39,42696.44,42650.01,42744.05
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,510.0,42694.42,42715.93,42650.0,42743.11
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,511.0,42712.71,42845.45,42712.71,42895.81
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,512.0,42843.84,42875.66,42805.87,42899.1
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,513.0,42875.65,42849.85,42845.93,42947.01
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,514.0,42854.33,42786.61,42770.81,42877.72
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,515.0,42786.38,42775.05,42729.8,42810.95
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,516.0,42775.05,42712.3,42675.37,42793.74
True,True,True,True,True,True,True,True,True,True,True,True,1.0,0.0,517.0,42704.56,42703.36,42661.51,42764.54
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,518.0,42702.1,42774.99,42689.73,42789.01
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,519.0,42774.99,42865.84,42774.99,42874.69
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,520.0,42865.84,42825.71,42785.96,42878.27
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,521.0,42825.71,42765.86,42706.39,42827.35
True,True,True,True,True,True,True,True,True,True,True,True,1.0,0.0,522.0,42763.63,42669.02,42624.99,42764.31
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,523.0,42669.77,42800.23,42644.25,42831.72
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,524.0,42800.23,42837.27,42786.37,42871.6
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,525.0,42837.71,42891.63,42837.71,42911.17
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,526.0,42891.63,43051.96,42891.61,43102.14
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,527.0,43050.33,43008.27,43000.0,43092.02
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,528.0,43008.27,43016.83,43000.0,43053.88
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,529.0,43016.83,42908.06,42900.01,43130.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,530.0,42908.05,42859.83,42804.74,42939.81
